customer,state,response,coverage,education,employment_status,location_code,policy,renew_offer_type,sales_channel,vehicle_class
BU79786,Washington,No,Basic,Bachelor or College,Employed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
QZ44356,Arizona,No,Extended,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Direct,Normal Car
AI49188,Nevada,No,Premium,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
WW63253,California,No,Basic,Bachelor or College,Unemployed,Suburban,Corporate,Offer 1-2,Indirect,Medium-Class Car
HB64268,Washington,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Normal Car
OC83172,Oregon,Yes,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
XZ87318,Oregon,Yes,Basic,Bachelor or College,Employed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
CF85061,Arizona,No,Premium,Doctor or Master,Unemployed,Urban,Corporate,Offer 1-2,Direct,Normal Car
DY87989,Oregon,Yes,Basic,Bachelor or College,Other status,Suburban,Corporate,Offer 1-2,Direct,Normal Car
BQ94931,Oregon,No,Extended,Bachelor or College,Employed,Urban,Special,Offer 1-2,Direct,Normal Car
SX51350,California,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
VQ65197,California,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
DP39365,California,No,Premium,Doctor or Master,Employed,Urban,Corporate,Offer 1-2,Direct,Normal Car
SJ95423,Arizona,Yes,Basic,High School or Below,Employed,Suburban,Corporate,Offer 1-2,Direct,Medium-Class Car
IL66569,California,No,Basic,Bachelor or College,Employed,Urban,Corporate,Offer 3-4,Indirect,Normal Car
BW63560,Oregon,No,Basic,Bachelor or College,Employed,Rural,Corporate,Offer 1-2,Direct,Normal Car
FV94802,Nevada,No,Basic,High School or Below,Other status,Suburban,Personal,Offer 1-2,Indirect,Normal Car
OE15005,California,No,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 3-4,Indirect,Medium-Class Car
WC83389,Oregon,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
FL50705,California,No,Premium,High School or Below,Employed,Suburban,Corporate,Offer 1-2,Indirect,Normal Car
ZK25313,Oregon,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
SV62436,Washington,No,Extended,Bachelor or College,Other status,Suburban,Personal,Offer 3-4,Indirect,Normal Car
YH23384,Arizona,Yes,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
TZ98966,Nevada,No,Basic,Bachelor or College,Unemployed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
HM55802,California,No,Basic,Bachelor or College,Other status,Suburban,Corporate,Offer 1-2,Direct,Normal Car
FS42516,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
US89481,California,No,Premium,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
HO30839,Washington,No,Extended,Doctor or Master,Other status,Urban,Corporate,Offer 1-2,Direct,Medium-Class Car
GE62437,Arizona,No,Premium,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
EJ77678,Oregon,No,Extended,Doctor or Master,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
SV85652,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
